Código;Ubicación;Sector;Tipo;Tipo1;FECHA;Descripción
70618007;COCHABAMBA;Concluido;3 de mayo;;03/09/15;El ingreso familiar ha incrementado de 243 $us a 302 $us
72032525;COCHABAMBA;Concluido;Calicanto;;03/09/15;El ingreso familiar ha incrementado de 243 $us a 302 $us
79511542;COCHABAMBA;Concluido;Charamoco;;03/09/15;El ingreso familiar ha incrementado de 243 $us a 302 $us
60508950;COCHABAMBA;Concluido;Chiñiri;;03/09/15;El ingreso familiar ha incrementado de 243 $us a 302 $us
71850702;COCHABAMBA;Concluido;El Carmen;;03/09/15;El ingreso familiar ha incrementado de 243 $us a 302 $us
27726266;COCHABAMBA;Concluido;Playa Ancha;;03/09/15;El ingreso familiar ha incrementado de 243 $us a 302 $us
27726266;COCHABAMBA;Concluido;San Nicolas;;03/09/15;El ingreso familiar ha incrementado de 243 $us a 302 $us
75882449;COCHABAMBA;Concluido;Ucuchi;;03/09/15;El ingreso familiar ha incrementado de 243 $us a 302 $us
67127595;COCHABAMBA;Concluido;Abatiña Choro;;03/09/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
71926454;COCHABAMBA;Concluido;Ajuri;;03/09/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
76255512;COCHABAMBA;Concluido;Antakhawa;;03/09/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
6,52E+14;COCHABAMBA;Concluido;Añuchiri;;03/09/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
22040646;COCHABAMBA;Concluido;Apharumiri;;03/09/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
77038616;COCHABAMBA;Concluido;Arriendo;;03/09/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
73222553;COCHABAMBA;Concluido;Aukalari;;03/09/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
72010539;COCHABAMBA;Concluido;Canteria;;03/09/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
22040646;COCHABAMBA;Concluido;Chaco Sivingani;;03/09/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
22040646;COCHABAMBA;Concluido;Challa Arriba (Kochi);;03/10/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
65649584;COCHABAMBA;Concluido;Challa Grande;;03/10/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
71796956;COCHABAMBA;Concluido;Challa Tambo;;03/10/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
73222553;COCHABAMBA;Concluido;Challuma;;03/10/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
67100045;COCHABAMBA;Concluido;Chaqueri;;03/10/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
79474808;COCHABAMBA;Concluido;Chaupi Rancho;;03/10/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
72522627;COCHABAMBA;Concluido;Chillca Grande;;03/10/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
71559095;COCHABAMBA;Concluido;Chuñuchuñuni;;03/10/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
73741451;COCHABAMBA;Concluido;Cochimarca Alto;;03/10/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
74071702;COCHABAMBA;Concluido;Cochimarca Bajo;;03/10/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
70644238;COCHABAMBA;Concluido;Condoriri;;03/10/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
7882185;COCHABAMBA;Concluido;Confital;;03/10/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
72077778;COCHABAMBA;Concluido;Curacaba;;03/10/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
78783790;COCHABAMBA;Concluido;Hornoni;;03/10/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
76571241;COCHABAMBA;Concluido;Huayllas;;03/10/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
76277777;COCHABAMBA;Concluido;Karpani;;03/10/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
72538421;COCHABAMBA;Concluido;Kusilliri;;03/10/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
74004875;COCHABAMBA;Concluido;Lacuyo;;03/11/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
77717814;COCHABAMBA;Concluido;Palcamolino;;03/11/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
73592222;COCHABAMBA;Concluido;Palcoma;;03/11/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
77533314;COCHABAMBA;Concluido;Pucavinto;;03/11/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
71553581;COCHABAMBA;Concluido;Ramadas;;03/11/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
77515195;COCHABAMBA;Concluido;Sawasawani;;03/11/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
70633148;COCHABAMBA;Concluido;Sivinga;;03/11/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
77750666;COCHABAMBA;Concluido;Tallija;;03/11/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
71505817;COCHABAMBA;Concluido;Tujsa Pujyo;;03/11/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
77241958;COCHABAMBA;Concluido;Tumuyo;;03/11/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
78783000;COCHABAMBA;Concluido;Vincumtaya;;03/11/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
0;COCHABAMBA;Concluido;Wakallavini;;03/11/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
71532430;COCHABAMBA;Concluido;Witipiña;;03/11/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
78821856;COCHABAMBA;Concluido;Yarvicoya;;03/11/15;El ingreso familiar ha incrementado de 464 $us a 576 $us
79171212;POTOSÍ;Concluido;Canchas Blanca Baja;;03/11/15;El ingreso familiar ha incrementado de 374 $us a 465 $us
71549049;POTOSÍ;Concluido;Canchas Blancas Alta;;03/11/15;El ingreso familiar ha incrementado de 374 $us a 465 $us
70558567;POTOSÍ;Concluido;Chillihua;;03/11/15;El ingreso familiar ha incrementado de 374 $us a 465 $us
73096220;POTOSÍ;Concluido;Ckara Ckara;;03/12/15;El ingreso familiar ha incrementado de 374 $us a 465 $us
9765555560;POTOSÍ;Concluido;Ckellu Ckellu;;03/12/15;El ingreso familiar ha incrementado de 374 $us a 465 $us
71947944;POTOSÍ;Concluido;Ckochapampa;;03/12/15;El ingreso familiar ha incrementado de 374 $us a 465 $us
75271769;POTOSÍ;Concluido;Huayco Huayco;;03/12/15;El ingreso familiar ha incrementado de 374 $us a 465 $us
71991802;POTOSÍ;Concluido;Iruja;;03/12/15;El ingreso familiar ha incrementado de 374 $us a 465 $us
72011618;POTOSÍ;Concluido;Jatun Cancha Alta;;03/12/15;El ingreso familiar ha incrementado de 374 $us a 465 $us
71915467;POTOSÍ;Concluido;Jatun Cancha Baja;;03/12/15;El ingreso familiar ha incrementado de 374 $us a 465 $us
60695275;POTOSÍ;Concluido;Jatun Orcko;;03/12/15;El ingreso familiar ha incrementado de 374 $us a 465 $us
71539326;POTOSÍ;Concluido;Marcoma;;03/12/15;El ingreso familiar ha incrementado de 374 $us a 465 $us
77528136;POTOSÍ;Concluido;Saytu Cancha;;03/12/15;El ingreso familiar ha incrementado de 374 $us a 465 $us
73001786;POTOSÍ;Concluido;Soyco Cancha;;03/12/15;El ingreso familiar ha incrementado de 374 $us a 465 $us
79678645;POTOSÍ;Concluido;Tahua Reja;;03/12/15;El ingreso familiar ha incrementado de 374 $us a 465 $us
72550774;POTOSÍ;Concluido;Tambo Ckasa;;03/12/15;El ingreso familiar ha incrementado de 374 $us a 465 $us
76575166;POTOSÍ;Concluido;Agua de Castilla;;03/12/15;El ingreso familiar ha incrementado de 464 $us a 577 $us
70181818;POTOSÍ;Concluido;Arachaca;;03/12/15;El ingreso familiar ha incrementado de 464 $us a 577 $us
75215222;POTOSÍ;Concluido;Cancha pujru;;03/12/15;El ingreso familiar ha incrementado de 410 $us a 509 $us
76783236;POTOSÍ;Concluido;Challuma;;03/12/15;El ingreso familiar ha incrementado de 410 $us a 509 $us
71575350;POTOSÍ;Concluido;Challuma Baja;;03/13/15;El ingreso familiar ha incrementado de 464 $us a 577 $us
73259036;POTOSÍ;Concluido;Chullpas;;03/13/15;El ingreso familiar ha incrementado de 464 $us a 577 $us
73096220;POTOSÍ;Concluido;Ckaltacasa;;03/13/15;El ingreso familiar ha incrementado de 410 $us a 509 $us
77799595;POTOSÍ;Concluido;Cochaloma;;03/13/15;El ingreso familiar ha incrementado de 410 $us a 509 $us
65577327;POTOSÍ;Concluido;Huaripampa;;03/13/15;El ingreso familiar ha incrementado de 410 $us a 509 $us
71523135;POTOSÍ;Concluido;Jailluwa;;03/13/15;El ingreso familiar ha incrementado de 464 $us a 577 $us
27726266;POTOSÍ;Concluido;Janina Alta;;03/13/15;El ingreso familiar ha incrementado de 410 $us a 509 $us
27726266;POTOSÍ;Concluido;Janina baja;;03/13/15;El ingreso familiar ha incrementado de 410 $us a 509 $us
70606470;POTOSÍ;Concluido;Kellu Huasi;;03/13/15;El ingreso familiar ha incrementado de 464 $us a 577 $us
71535533;POTOSÍ;Concluido;Laca Laca;;03/13/15;El ingreso familiar ha incrementado de 464 $us a 577 $us
76513274;POTOSÍ;Concluido;Mojón;;03/13/15;El ingreso familiar ha incrementado de 464 $us a 577 $us
70578005;POTOSÍ;Concluido;Molle Molle;;03/13/15;El ingreso familiar ha incrementado de 192 $us a 238 $us
60577777;POTOSÍ;Concluido;Pata Huayllas;;03/13/15;El ingreso familiar ha incrementado de 410 $us a 509 $us
60577777;POTOSÍ;Concluido;Pata Rodeo;;03/13/15;El ingreso familiar ha incrementado de 410 $us a 509 $us
76277777;POTOSÍ;Concluido;Pichacani;;03/13/15;El ingreso familiar ha incrementado de 464 $us a 577 $us
70531316;POTOSÍ;Concluido;Quirpe Cebadillas;;03/13/15;El ingreso familiar ha incrementado de 464 $us a 577 $us
70580441;POTOSÍ;Concluido;Quivi Quivi;;03/13/15;El ingreso familiar ha incrementado de 464 $us a 577 $us
71534072;POTOSÍ;Concluido;Ravelo;;03/14/15;El ingreso familiar ha incrementado de 464 $us a 577 $us
2733137;POTOSÍ;Concluido;Rodeo Huayllas;;03/14/15;El ingreso familiar ha incrementado de 410 $us a 509 $us
79111736;POTOSÍ;Concluido;Sauce Mayu (centro);;03/14/15;El ingreso familiar ha incrementado de 464 $us a 577 $us
77216958;POTOSÍ;Concluido;Sauce Mayu (norte);;03/14/15;El ingreso familiar ha incrementado de 464 $us a 577 $us
77563721;POTOSÍ;Concluido;Siquiña;;03/14/15;El ingreso familiar ha incrementado de 464 $us a 577 $us
71551238;POTOSÍ;Concluido;Sorocoto;;03/14/15;El ingreso familiar ha incrementado de 192 $us a 238 $us
76771444;POTOSÍ;Concluido;Sorojchi;;03/14/15;El ingreso familiar ha incrementado de 192 $us a 238 $us
71522954;POTOSÍ;Concluido;Soroscopa;;03/14/15;El ingreso familiar ha incrementado de 192 $us a 238 $us
