Código;Ubicación;Sector;Tipo;Tipo1;FECHA;Descripción
70618007;COCHABAMBA;Concluido;3 de mayo;;09/03/2015;El ingreso familiar ha incrementado de 243 $us a 302 $us
72032525;COCHABAMBA;Concluido;Calicanto;;09/03/2015;El ingreso familiar ha incrementado de 243 $us a 302 $us
79511542;COCHABAMBA;Concluido;Charamoco;;09/03/2015;El ingreso familiar ha incrementado de 243 $us a 302 $us
60508950;COCHABAMBA;Concluido;Chiñiri;;09/03/2015;El ingreso familiar ha incrementado de 243 $us a 302 $us
71850702;COCHABAMBA;Concluido;El Carmen;;09/03/2015;El ingreso familiar ha incrementado de 243 $us a 302 $us
27726266;COCHABAMBA;Concluido;Playa Ancha;;09/03/2015;El ingreso familiar ha incrementado de 243 $us a 302 $us
27726266;COCHABAMBA;Concluido;San Nicolas;;09/03/2015;El ingreso familiar ha incrementado de 243 $us a 302 $us
75882449;COCHABAMBA;Concluido;Ucuchi;;09/03/2015;El ingreso familiar ha incrementado de 243 $us a 302 $us
67127595;COCHABAMBA;Concluido;Abatiña Choro;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
71926454;COCHABAMBA;Concluido;Ajuri;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
76255512;COCHABAMBA;Concluido;Antakhawa;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
651652662900697;COCHABAMBA;Concluido;Añuchiri;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
22040646;COCHABAMBA;Concluido;Apharumiri;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
77038616;COCHABAMBA;Concluido;Arriendo;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
73222553;COCHABAMBA;Concluido;Aukalari;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
72010539;COCHABAMBA;Concluido;Canteria;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
22040646;COCHABAMBA;Concluido;Chaco Sivingani;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
22040646;COCHABAMBA;Concluido;Challa Arriba (Kochi);;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
65649584;COCHABAMBA;Concluido;Challa Grande;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
71796956;COCHABAMBA;Concluido;Challa Tambo;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
73222553;COCHABAMBA;Concluido;Challuma;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
67100045;COCHABAMBA;Concluido;Chaqueri;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
79474808;COCHABAMBA;Concluido;Chaupi Rancho;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
72522627;COCHABAMBA;Concluido;Chillca Grande;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
71559095;COCHABAMBA;Concluido;Chuñuchuñuni;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
73741451;COCHABAMBA;Concluido;Cochimarca Alto;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
74071702;COCHABAMBA;Concluido;Cochimarca Bajo;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
70644238;COCHABAMBA;Concluido;Condoriri;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
7882185;COCHABAMBA;Concluido;Confital;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
72077778;COCHABAMBA;Concluido;Curacaba;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
78783790;COCHABAMBA;Concluido;Hornoni;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
76571241;COCHABAMBA;Concluido;Huayllas;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
76277777;COCHABAMBA;Concluido;Karpani;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
72538421;COCHABAMBA;Concluido;Kusilliri;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
74004875;COCHABAMBA;Concluido;Lacuyo;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
77717814;COCHABAMBA;Concluido;Palcamolino;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
73592222;COCHABAMBA;Concluido;Palcoma;;09/03/2015;El ingreso familiar ha incrementado de 464 $us a 576 $us
