Código;Ubicación;Sector;Tipo;Tipo1;FECHA;Descripción
79511542;La Paz;Vehículos;VW;;2015-04-14;VENDO   peta 1985, 79511542. 
2772626;La Paz;Vehículos;VW;;2015-04-14;VOLKSWAGEN   Bora 2011 Hansa Montenegro 1012, 2772626. 
2204064;La Paz;Vehículos;VW;;2015-04-14;VOLKSWAGEN   Jetta 2011 mecánico 2500cc. Indaburo 1350, 2204064. 
72077233;La Paz;Vehículos;VW;;2015-04-14;1.300   ocasión hermosa Brasilia 1981, 72077233 
72516397;La Paz;Vehículos;VW;;2015-04-14;EN VENTA   Brasilia año 79, 2 puertas verde Cel 72516397 
68224782;La Paz;Vehículos;GMC;;2015-04-14;VENDO   carrocería ambulancia 68224782. 
73284360;La Paz;Vehículos;GMC;;2015-04-14;COMPRO   papeles camión GMC 73284360. 
2204064;La Paz;Vehículos;DODGE;;2015-04-14;DODGE   Journey 2009 automático 3500cc. Indaburo 1350, 2204064. 
65649584;La Paz;Vehículos;FORD;;2015-04-14;POR VIAJE   remato hermosisima camioneta Ford Ranger Sport, mod.2000 c/mecaninca, 4x4, c/media 4/puertas, 10900$us conversable 65544150-65649584. 
2204064;La Paz;Vehículos;FORD;;2015-04-14;FORD   F-150 2003 automática 4x4 doble cabina Indaburo 1350, 2204064. 
2204064;La Paz;Vehículos;FORD;;2015-04-14;FORD   Explorer 2000 automática Indaburo 1350, 2204064. 
77299151;La Paz;Vehículos;FORD;;2015-04-14;VENDO   Ford Explorer 2004 Ref. 77299151. 
77750666;La Paz;Vehículos;FORD;;2015-04-14;VENDO   camioneta F150, 2008, 77750666. 
69739338;La Paz;Vehículos;FORD;;2015-04-14;VENDO   vagoneta Ford Taurus X Mod. 2009 3 filas de asiento 2472825, 69739338. 
76529600;La Paz;Vehículos;CHEVROLET;;2015-04-14;VENDO   automóvil Chevrolet Comodoro 81 en $us/700, Ref. Cel. 76529600. 
65668849;La Paz;Vehículos;CHEVROLET;;2015-04-14;VENDO   camioneta doble cabina Mod. 96 doble tracción, plomo, 65668849. 
71573757;La Paz;Vehículos;TOYOTA;;2015-04-14;VENDO CAMIONETA   Hilux mod.2012 full equipo con tv filmadora 71573757. 
72011618;La Paz;Vehículos;TOYOTA;;2015-04-14;RAV-4 2009   72011618. 
76201010;La Paz;Vehículos;TOYOTA;;2015-04-14;VENDO   camioneta Toyota Dyna 2004 Cap. 2 Tons, con carpa perfecto estado $22.800 negociable Tel. 76201010 
60179565;La Paz;Vehículos;TOYOTA;;2015-04-14;CAMIONETA   furgón de 2tn Mod. 2008 Cel. 60179565. 
77717814;La Paz;Vehículos;TOYOTA;;2015-04-14;2011 TOYOTA   Sequoia Imp. Toyosa full equipo Guinda Motor 5.7 77717814. 
76513183;La Paz;Vehículos;TOYOTA;;2015-04-14;FLAMANTE   vagoneta Toyota RAV4 I.D. americana Mod. 2012, sin daños recién llegada 76513183 
78800592;La Paz;Vehículos;TOYOTA;;2015-04-14;POR VIAJE   vendo Rav4 2013 mecánico japonés $us/26.600, Cel. 78800592. 
71505817;La Paz;Vehículos;TOYOTA;;2015-04-14;HILUX   2014, full 71505817. 
76702915;La Paz;Vehículos;TOYOTA;;2015-04-14;EN VENTA   Toyota Prado 97 doble tanque de gasolina techo solar tres filas de asientos conservado 76702915. 
78868508;La Paz;Vehículos;TOYOTA;;2015-04-14;COROLLA AUTOMOVIL   89 5.500 78868508. 
68212856;La Paz;Vehículos;TOYOTA;;2015-04-14;VENDO   vagoneta Toyota Runner 68212856. 
71549049;La Paz;Vehículos;TOYOTA;;2015-04-14;VAGONETA   Prado 2004 full Limited 4x4, 2385433, 71549049 
