CÛdigo;UbicaciÛn;Sector;Tipo;Tipo1;FECHA;DescripciÛn
2204064;La Paz;VehÌculos;VW;;2015-04-24;VOLKSWAGEN   Jetta 2011 mecanico 2500cc Indaburo 1350 2204064 
2772626;La Paz;VehÌculos;VW;;2015-04-24;VOLKSWAGEN   Bora 2011 Hansa Montenegro 1012 2772626 
70618007;La Paz;VehÌculos;VW;;2015-04-24;VENDO AUDI   Q7 Premium 2008, tres filas 3,6cc. excelente estado. Ref. 70618007. 
65560017;La Paz;VehÌculos;VW;;2015-04-24;EN VENTA   Volkswagen Gol aÒo 2000 importado por Hansa Ref. 65560017, 2790594. 
65612018;La Paz;VehÌculos;VW;;2015-04-24;HERMOSA   camioneta VW doble cabina alemana 65612018, 2486916 
68224782;La Paz;VehÌculos;GMC;;2015-04-24;VENDO   carrocerÌa ambulancia 68224782. 
2204064;La Paz;VehÌculos;DODGE;;2015-04-24;DODGE   Journey 2009 automatica 3500cc Indaburo 1350 2204064 
65576615;La Paz;VehÌculos;DODGE;;2015-04-24;RAM 1500   16.500$us Modelo.2007 65576615. 
65560017;La Paz;VehÌculos;DODGE;;2015-04-24;EN VENTA   o permuta vagoneta Dodge Durango aÒo 2002 Ref. 65560017, 2790594. 
2204064;La Paz;VehÌculos;FORD;;2015-04-24;FORD   Explorer 2000 automatica Indaburo 1350 2204064 
79504389;La Paz;VehÌculos;FORD;;2015-04-24;VENDO   Ford Expedition, modelo 2000, buen estado, asientos cuero, tres filas, papeles al dia, 12.000$us ofertable ref.79504389 
72562745;La Paz;VehÌculos;FORD;;2015-04-24;VENDO   Camioneta Ford F-150. Mod. 2008, C/mec·nica, asientos de cuero, cabina y media, 15.500$us.- de ocasiÛn. Ofertable. Cel. 72562745. por motivo de viaje. 
65560017;La Paz;VehÌculos;FORD;;2015-04-24;EN VENTA   o permuta vagoneta Ford Explorer aÒo 2010 Ref. 65560017, 2790594. 
71559095;La Paz;VehÌculos;TOYOTA;;2015-04-24;VENDO   camioneta Hilux 2008, 71559095 
61218666;La Paz;VehÌculos;TOYOTA;;2015-04-24;EN VENTA   una vagoneta Iasy Toyota Rojo modelo 92 original cel.61218666. 
71293094;La Paz;VehÌculos;TOYOTA;;2015-04-24;VENDO   camioneta Toyota Stout Mod. 93 Cel. 71293094. 
71505817;La Paz;VehÌculos;TOYOTA;;2015-04-24;HILUX   2014, 71505817. 
78800592;La Paz;VehÌculos;TOYOTA;;2015-04-24;VENTA   RAV4 Mod. 2013 mec·nico japonÈs $us. 26.000 Cel. 78800592 
77750757;La Paz;VehÌculos;TOYOTA;;2015-04-24;TOYOTA LEXUS   2006, 3 filas asientos 77750757. 
2204064;La Paz;VehÌculos;TOYOTA;;2015-04-24;RUNNER   2003 automatica 4x4 Indaburo 1350 2204064 
2772626;La Paz;VehÌculos;TOYOTA;;2015-04-24;TOYOTA   Corolla 2011 automatico 2800cc Montenegro 1012 2772626 
76575556;La Paz;VehÌculos;TOYOTA;;2015-04-24;CAMIONETAS   Hilux 2012 rojo, plomo ceniza blanco Full equipo recien llegados 76575556. 
71503486;La Paz;VehÌculos;TOYOTA;;2015-04-24;AUTOMOVIL   Toyota Yaris 2014 $us.16.800 c/mec·nica 71503486 
72546778;La Paz;VehÌculos;TOYOTA;;2015-04-24;HERMOSA   camioneta Toyota hilux 2010 (T0yosa) vendo, 72546778 
7621010;La Paz;VehÌculos;TOYOTA;;2015-04-24;VENDO CAMIONETA   Toyota Dyna 2004. cap. 2 tons, con carpa perfecto estado. $.22.800.- Negociable Tel. 762-01010. 
73057530;La Paz;VehÌculos;TOYOTA;;2015-04-24;VENDO   Hilux Mod. 2009 d/c, 4x4 Cel. 69766633, 73057530 
75216161;La Paz;VehÌculos;TOYOTA;;2015-04-24;VENDO   automÛvil Toyota 75216161. 
70580441;La Paz;VehÌculos;TOYOTA;;2015-04-24;COMPRO AUTOS   70580441. 
77788822;La Paz;VehÌculos;TOYOTA;;2015-04-24;REMATO   Hummer 2006 azul o permuto 77788822. 
76555822;La Paz;VehÌculos;TOYOTA;;2015-04-24;EN VENTA   vagoneta Toyota Runner modelo 98 ediciÛn limitada full equipo, techo solar llamar a Cel. 76555822, 76537474. 
70568015;La Paz;VehÌculos;TOYOTA;;2015-04-24;RAV-4, ADVANTAGE   2002, color azul, Toyosa opciÛn permuta 70568015- 61179711. 
72575261;La Paz;VehÌculos;TOYOTA;;2015-04-24;EN VENTA   camioneta Toyota Hilux, aÒo 2013, tailandesa, super full Cel. 72575261. 
73571912;La Paz;VehÌculos;TOYOTA;;2015-04-24;VENDO   Jeep Toyota Land Cruiser conservado M/2007, 73571912 
60682842;La Paz;VehÌculos;TOYOTA;;2015-04-24;VAGONETA   Rav4 original mec·nica 60682842. 
71549049;La Paz;VehÌculos;TOYOTA;;2015-04-24;VAGONETA   Prado Lexus 2004 full 2385433, 71549049. 
76571241;La Paz;VehÌculos;TOYOTA;;2015-04-24;VENDO   de ocasiÛn Toyota Ipsum aÒo 97 Ref. 76571241. 
71912234;La Paz;VehÌculos;TOYOTA;;2015-04-24;TOYOTA   vagoneta succed aÒo 2012 placa D/40 1.500cc Cel. 71912234. 
76761170;La Paz;VehÌculos;TOYOTA;;2015-04-24;HILUX   2015 D/C rojo Toyosa con 3000km 4x4 seguro intermedio 32.000$ ofertable 76761170. 
77291998;La Paz;VehÌculos;TOYOTA;;2015-04-24;EN VENTA   deportivo Celica Modelo.89 Motor 2000, 6500$ ref.77291998. 
77717814;La Paz;VehÌculos;TOYOTA;;2015-04-24;2011 TOYOTA SEQUOIA   Importada por Toyosa flamante full equipo 77717814. 
71227290;La Paz;VehÌculos;TOYOTA;;2015-04-24;POR MOTIVO   de viaje vendo Toyota Rav4 Mod. 98 caja mec·nica buen estado placa 22 Cel. 71227290. 
78808622;La Paz;VehÌculos;TOYOTA;;2015-04-24;VENDO   un Toyota Surf Mod. 94 autom·tico 2700cc. papeles al dÌa Cel. 78808622 el precio 12.500$us. charlable. 
71212651;La Paz;VehÌculos;TOYOTA;;2015-04-24;VENDO   vagoneta Prado 2009 caja mec·nica 2.700cc. importado por Toyosa impuestos al dÌa 71212651. 
72084979;La Paz;VehÌculos;TOYOTA;;2015-04-24;JEEP   Land Cruiser Mod.91, 72084979 
72084979;La Paz;VehÌculos;TOYOTA;;2015-04-24;MINIBUS   Hiace secuencial Mod.2008, 72084979 
60543394;La Paz;VehÌculos;TOYOTA;;2015-04-24;VAGONETA   batalla larga Mod.2011, 60543394 
71930989;La Paz;VehÌculos;TOYOTA;;2015-04-24;VENDO   permuto camioneta Land Cruisser 2012, 71930989 
65595368;La Paz;VehÌculos;TOYOTA;;2015-04-24;VENDO   Toyota Fielder aÒo 2011 Fono: 65595368 
73500500;La Paz;VehÌculos;TOYOTA;;2015-04-24;TOYOTA   Prado. vendo, 1998. 73500500- 60649497. 
65172244;La Paz;VehÌculos;TOYOTA;;2015-04-24;VENDO   un automÛvil Toyota Corsa Mod/95 papeles al dÌa 7.000$. ofertable Ref. al 65172244. 
65675215;La Paz;VehÌculos;TOYOTA;;2015-04-24;EN VENTA   un minib˙s Lobito modelo 92, Cel. 61218666, 65675215. 
65560017;La Paz;VehÌculos;TOYOTA;;2015-04-24;EN VENTA   o permuta camionetas Toyota Tundra aÒo 2010 y 2013 Ref. 65560017, 2790594. 
76565363;La Paz;VehÌculos;TOYOTA;;2015-04-24;EN VENTA   una camioneta Toyota Dina blanco modelo 2006 a diesel caja mec·nica caja quinta papeles al dÌa primer dueÒo sin intermediarios motivo viaje urgente referencias al 72521749 o al 76565363 (precio 18.000$us. ofertable). 
72584153;La Paz;VehÌculos;TOYOTA;;2015-04-24;VENDO   Toyota Yaris Mod. 2014 con c·mara de retro la ful reciÈn llegado Cel. 72584153. 
70638850;La Paz;VehÌculos;MERCEDES BENZ;;2015-04-24;IMPECABLE   automÛvil Mercedes 2003, vendo 70638850. 
71559095;La Paz;VehÌculos;VOLVO;;2015-04-24;VENDO   volquetas FH-12, 1995, 1997, 71559095 
78911824;La Paz;VehÌculos;VOLVO;;2015-04-24;IMPORATCION   directa volvo de EEUU Europeo volvo FH modelo 2013 desde 45.000$us Ref. 78911824. 
71948191;La Paz;VehÌculos;VOLVO;;2015-04-24;VOLVO FH   modelo 2012, 2013 tractos volquetas sin intermediarios en puerto Iquique, aduana interios importamos a pedido 55.000$us Ref. 71948191. 
74918123;La Paz;VehÌculos;VOLVO;;2015-04-24;VENDO   tanque cisterna Ref. 70591486, 74918123. 
73096220;La Paz;VehÌculos;VOLVO;;2015-04-24;$US82.000.-   Volvos Americanos 2006 y 2007 motor Cummins ISX, con chata de dos ejes, actualmente trabajando ref.73096220. 
73284360;La Paz;VehÌculos;VOLVO;;2015-04-24;VENDO   camiÛn N-12 retro gallina ocasiÛn 73284360. 
71550597;La Paz;VehÌculos;VOLVO;;2015-04-24;VOLVO   cabina globetrotter panor·mico con faroles y todos sus accesorios recien llegado de Europa 6.500 dÛlares 71550597. 
70640848;La Paz;VehÌculos;VOLVO;;2015-04-24;TRACTO   americano 2010 Aduana 70640848. 
71900177;La Paz;VehÌculos;VOLVO;;2015-04-24;OCASION   vendo volvo americano Mod. 2007 con o sin chata 71900177. 
67195909;La Paz;VehÌculos;VOLVO;;2015-04-24;EN VENTA   Volvo FH 380 mod.94 Ref.67195909 
60431749;La Paz;VehÌculos;VOLVO;;2015-04-24;VENDO   volvo 92 full muelle cubo carreta s/p, 60431749. 
76275729;La Paz;VehÌculos;VOLVO;;2015-04-24;VENTA   camiÛn alzapata c/carreta Mod. 85 Cel. 76273982, 76275729. 
76509535;La Paz;VehÌculos;VOLVO;;2015-04-24;POR MOTIVO   de viaje se vende tr·iler volvo FH 12/460, 5 ejes + vagoneta de regalo Cel. 76509535. 
71211919;La Paz;VehÌculos;VOLVO;;2015-04-24;EN VENTA   camino Volvo F7 o permuto con casa por carretera Oruro Cel. 71211919. 
72516309;La Paz;VehÌculos;VOLVO;;2015-04-24;VENDO   volqueta Volvo F-10 Mod. 1983 alzapata tolva 12mts3 documentos al dÌa Ref. 72516309. 
73090082;La Paz;VehÌculos;VOLVO;;2015-04-24;VENDEMOS   furgon frigorifico furgon escenario 73090082 
71587877;La Paz;VehÌculos;VOLVO;;2015-04-24;DE OCASION   tracto camiÛn Americano motor FH, Mod. 2007, 60.000 Cel. 71587877, 65566564. 
72000250;La Paz;VehÌculos;BMW;;2015-04-24;VENTA   o permuta hermoso deportivo Mod. 2005 Mercedes Benz SLK-350 precio $us. 35.000 ofertable fonos 2148916, 72000250, impecable sin intermediarios. 
2204064;La Paz;VehÌculos;BMW;;2015-04-24;BMW 325I   1993 mecanico 2500cc Indaburo 1350 2204064 
2772626;La Paz;VehÌculos;BMW;;2015-04-24;BMW 328XI   2007 automatico full Montenegro 1012 2772626 
65560017;La Paz;VehÌculos;BMW;;2015-04-24;EN VENTA   o permuta vagoneta BMW x3 aÒo 95, 65560017, 2790594. 
65560017;La Paz;VehÌculos;BMW;;2015-04-24;DE OCASION   en venta BMW 328xi aÒo 2008 dÛlares 18.000 Ref. 65560017, 2790594. 
74918123;La Paz;VehÌculos;NISSAN;;2015-04-24;VENDO   Nissan armad Mod. 2004 ofertable Ref. 70591486, 74918123. 
70637535;La Paz;VehÌculos;NISSAN;;2015-04-24;SENTRA   1999 original c/mec·nica 70637535. 
2204064;La Paz;VehÌculos;NISSAN;;2015-04-24;PATHFINDER   2014 automatica full 2204064 Indaburo 1350 
2772626;La Paz;VehÌculos;NISSAN;;2015-04-24;VERSA   2011 automatico 1800cc Montenegro 1012/2772626 
2204064;La Paz;VehÌculos;NISSAN;;2015-04-24;NISSAN   Altima 2005 automatico 2500cc Indaburo 1350 2204064 
2204064;La Paz;VehÌculos;NISSAN;;2015-04-24;NISSAN   Pathfinder 2005 automatica 4x4 3filas Indaburo 1350 2204064 
2204064;La Paz;VehÌculos;NISSAN;;2015-04-24;SENTRA   2010 automatico 2000cc Indaburo 1350 2204064 
2204064;La Paz;VehÌculos;NISSAN;;2015-04-24;NISSAN   Rogue 2011 4x4 full equipo Indaburo 1350 2204064 
79789071;La Paz;VehÌculos;NISSAN;;2015-04-24;XTRAIL   2012 de lujo 79789071 
77515195;La Paz;VehÌculos;NISSAN;;2015-04-24;OCASION   camioneta Tit·n doble cabina 4x4 (dueÒo) 77515195. 
78783790;La Paz;VehÌculos;NISSAN;;2015-04-24;NOTE 2012   78783790. 
69756563;La Paz;VehÌculos;NISSAN;;2015-04-24;XTERRA   2000 caja/Mec. 69756563 
78796246;La Paz;VehÌculos;NISSAN;;2015-04-24;EN VENTA   Nissan Cube 2010 Telf. 77757252, 78796246 
70578005;La Paz;VehÌculos;NISSAN;;2015-04-24;VENDO O PERMUTO   camioneta Nissan Titan modelo 2005 4x4 doble cabina 60500582- 70578005 
76277777;La Paz;VehÌculos;NISSAN;;2015-04-24;VAGONETA   Nissan Qashqai 2015, 76277777, 71549049 
76277777;La Paz;VehÌculos;NISSAN;;2015-04-24;VAGONETA   X-Trail 2015, 76277777, 71549049 
69827840;La Paz;VehÌculos;NISSAN;;2015-04-24;HERMOSO   Nissan Sentra 2012, 20000 millas reales ˙nico dueÒo perfecto estado color plateado consultas 69827840 
73599398;La Paz;VehÌculos;NISSAN;;2015-04-24;EN VENTA   vehÌculo Nissan Note 2011, 11.200 dÛlares caja autom·tica 73599398 
72206222;La Paz;VehÌculos;NISSAN;;2015-04-24;VENDO   vagoneta Nissan Rogue 2011 full 40K millas impecable $us. 19.700.- 72206222 
77525020;La Paz;VehÌculos;NISSAN;;2015-04-24;VENDO NISSAN   Condor Mod. 97 MK 260 turbo Intcler 75842032, 77525020. 
65681418;La Paz;VehÌculos;NISSAN;;2015-04-24;VENDO   minib˙s Vanette caja mec·nica en buen estado 13.500 dÛlares ofertable Ref. 65681418. 
73287278;La Paz;VehÌculos;NISSAN;;2015-04-24;VENDO   March 2007 autom·tico 7800$ escucho ofertas 73287278, 2251614 
65560017;La Paz;VehÌculos;NISSAN;;2015-04-24;EN VENTA   o permuta camioneta Nissan Frontier aÒo 2010 Ref. 65560017, 2790594. 
73073008;La Paz;VehÌculos;NISSAN;;2015-04-24;CAMIONETA   Frontier 2007 D/C 73073008 
72059829;La Paz;VehÌculos;HONDA;;2015-04-24;VENDO   auto Honda Civic 2007 caja mecanica $us.10.500 llamar 72059829 
2204064;La Paz;VehÌculos;MAZDA;;2015-04-24;MAZDA   M2 2011 mecanico 1500cc Indaburo 1350 2204064 
2772626;La Paz;VehÌculos;PEUGEOT;;2015-04-24;PEUGEOT   301 2014 mecanico 1600cc 0Km Montenegro 1012 2772626 
77234594;La Paz;VehÌculos;MITSUBISHI;;2015-04-24;VENDO MITSUBISHI   Montero Modelo 2001 Limited 77234594. 
72010279;La Paz;VehÌculos;MITSUBISHI;;2015-04-24;IMPECABLE   totalmente nuevo camioneta modelo 2009 doble cabina Mitsubishi Triton L-200 color azul caja mec·nica 4x4, papeles al dÌa opciÛn permuta 72010279, 61179711. 
77508588;La Paz;VehÌculos;MITSUBISHI;;2015-04-24;VAGONETA   Mitsubishi Endeavor 2004 Original 4x4 secuencial cel.77508588. 
77290863;La Paz;VehÌculos;MITSUBISHI;;2015-04-24;VENDO   Mitsubishi 2005, 77290863. 
73279166;La Paz;VehÌculos;MITSUBISHI;;2015-04-24;VENDO   Mitsubishi endeavor vagoneta Mod. 2005, 4x4 ofertable llamar Cel. 73279166. 
77590248;La Paz;VehÌculos;MITSUBISHI;;2015-04-24;MITSUBISHI RVR   Mod. 96 ocasiÛn 5.700$us 77590248. 
